path	class	bytes	mtime_utc	identity_kind	identity
src/providers.ts	provider-alibaba	5085	2026-08-07T13:39:05Z	sha256	624995935cf4bcaf2647942b949146d3d546f1b4ec91edbd0cee5dde83b07f5b
src/config.ts	provider-alibaba	8152	2026-08-07T13:39:05Z	sha256	0cdc3197595e30d3fc725249e26e7c667cd040b7c651e04d93eb8c19b49f90a8
src/llm.ts	provider-alibaba	15250	2026-08-07T13:39:05Z	sha256	12eaba3b65342171d6d53ad8cecddc8c6d291bc91a38fe403c61f618c0d43a15
src/provider-adapters.ts	provider-alibaba	5736	2026-08-07T13:39:05Z	sha256	17b4fa02f0c4f443ab49584f6f80f9787be432e52a23ae15d9413d382236bdb9
src/app-settings.ts	provider-alibaba	3664	2026-08-07T13:39:05Z	sha256	ee456f49538f5eec09789b6afe582aafff6b9180dba19e86e67cccb52dacf444
src/minutes.ts	provider-alibaba	8962	2026-08-07T13:39:05Z	sha256	b9b8c4436264860f5b03a829f90ca8d256cb999b8758cd26812f8579631cea0e
.env.example	provider-alibaba	2977	2026-08-07T13:39:05Z	sha256	b1449a31bf94f07a8357743507b4574a12f937c25660712386930fa80d84c445
server.ts	provider-alibaba	72863	2026-08-08T23:29:16Z	sha256	80084305117b26160b063c5c59b80ecc07fc92a2ac01ca40a64310281520a923
README.md	provider-alibaba	7101	2026-08-07T13:39:05Z	sha256	e1c3844f5cb4bb74d052b5deea9ee615940431ffa75bc49a73670e1ea912e64b
tests/providers.test.ts	provider-alibaba	3988	2026-08-07T13:39:05Z	sha256	73d9c3d62bdaab1bcb2acec8ce0aa845e893b0567ebed82995570e70fb4402c5
tests/app-settings.test.ts	provider-alibaba	1681	2026-08-07T13:39:05Z	sha256	2e8ec7b84774a973e9263932c83390b8fec00f8389b6a19fad9c6787b211b5a7
models/ggml-large-v3-turbo.bin	model-weights	1624555275	2026-07-27T22:27:15Z	size+mtime(dataless)	bytes=1624555275;mtime=2026-07-27T22:27:15Z
models/ggml-medium.bin	model-weights	1533763059	2026-07-25T09:25:47Z	size+mtime(dataless)	bytes=1533763059;mtime=2026-07-25T09:25:47Z
models/stt/ggml-large-v3-turbo-q8_0.bin	model-weights	874188075	2026-08-04T09:17:55Z	size+mtime(dataless)	bytes=874188075;mtime=2026-08-04T09:17:55Z
models/stt/nemotron-3.5-asr-streaming-0.6b-Q8_0.gguf	model-weights	751094240	2026-08-08T23:19:21Z	size+mtime(dataless)	bytes=751094240;mtime=2026-08-08T23:19:21Z
HANDOFF.md	handoff	26263	2026-08-10T00:09:52Z	sha256	280e4186041fba8216721ce4da46fcc01a52e728a6684d00e761b250dd1a721e
DESIGN.md	redesign-input	24583	2026-08-10T11:58:13Z	sha256	c1fb2ba3c9299345dec6d60f7694267074ee85092ac43f67fab91d7b31da6648
.omo/plans/caret-clone-redesign.md	redesign-input	55019	2026-08-11T05:54:46Z	sha256	591a99fb4c98fb85fca13b7fb70fd5ea323c490f8989d47a90d1c5092ac7aeb4
.omo/drafts/caret-clone-redesign.md	redesign-input	14386	2026-08-11T05:57:03Z	sha256	76f3112dda303e7b7994509bc3624a30a6d65daffaec51e615a72b908d5b25d6
.omo/plans/tiro-operator-rebuild.md	redesign-input	3124	2026-08-09T09:59:55Z	sha256	1d5337b3af00d80e4ac0563895af050c8a6550d825581000fa82930685e5db3b
.omo/ulw-research/20260809-065345/brief.md	research-artifact	3058	2026-08-08T21:54:37Z	sha256	22aff15dbe24ece2c8815783b91465f2705c2ef21091b3fd6dd73f718fdc8d85
.omo/ulw-research/20260809-065345/candidate-ranking.md	research-artifact	5946	2026-08-08T22:47:57Z	sha256	4e6e16ff0569d3b41d8a70092a670111cbf6262b92dcf3c2eb910a03830fa3cd
.omo/ulw-research/20260809-065345/claim-graph.json	research-artifact	3194	2026-08-08T22:50:58Z	sha256	839aa4f1dfa894d99f22705ef75c17f9f5fc5bed4efbb400d40635e3a9e6a557
.omo/ulw-research/20260809-065345/final-report.md	research-artifact	14600	2026-08-08T23:00:27Z	size+mtime(dataless)	bytes=14600;mtime=2026-08-08T23:00:27Z
.omo/ulw-research/20260809-065345/integration-surface.md	research-artifact	3352	2026-08-08T22:44:01Z	sha256	fbd20285060b888ae5af9d6a8ea8acc2a47b1b985010eac99f59bc8039b70cf2
.omo/ulw-research/20260809-065345/intent-diff.md	research-artifact	885	2026-08-08T22:50:58Z	sha256	6029821ca6da0c9a7079939a9bc7085bb4c576bf703d7acfef613230ff97b9c1
.omo/ulw-research/20260809-065345/observation-manifest.md	research-artifact	20332	2026-08-08T22:56:20Z	sha256	f44d42a36eb3fa622695ede255167045185f6955974a9dac324ba9d7b059e760
.omo/ulw-research/20260809-065345/outputs/qa/.gitkeep	research-artifact	1	2026-08-08T22:56:53Z	sha256	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
